Query,Result
P(adoption_Artificial_Intelligence_AI=True | adoption_Internet_of_Things_IoT=True),0.3065
P(adoption_Artificial_Intelligence_AI=True | adoption_Blockchain=True),0.3065
P(adoption_Artificial_Intelligence_AI=True | adoption_Cloud_Computing=True),0.2165
P(adoption_Artificial_Intelligence_AI=True | adoption_Robotic_and_Automation=True),0.2933
P(adoption_Artificial_Intelligence_AI=True | adoption_Big_Data_Analytics=True),0.3696
P(adoption_Artificial_Intelligence_AI=True | adoption_Simulation=True),0.3065
P(adoption_Internet_of_Things_IoT=True | adoption_Artificial_Intelligence_AI=True),0.2097
P(adoption_Internet_of_Things_IoT=True | adoption_Blockchain=True),0.2097
P(adoption_Internet_of_Things_IoT=True | adoption_Cloud_Computing=True),0.7129
P(adoption_Internet_of_Things_IoT=True | adoption_Robotic_and_Automation=True),0.2097
P(adoption_Internet_of_Things_IoT=True | adoption_Big_Data_Analytics=True),0.2097
P(adoption_Internet_of_Things_IoT=True | adoption_Simulation=True),0.2097
P(adoption_Blockchain=True | adoption_Artificial_Intelligence_AI=True),0.1129
P(adoption_Blockchain=True | adoption_Internet_of_Things_IoT=True),0.1129
P(adoption_Blockchain=True | adoption_Cloud_Computing=True),0.2205
P(adoption_Blockchain=True | adoption_Robotic_and_Automation=True),0.1129
P(adoption_Blockchain=True | adoption_Big_Data_Analytics=True),0.1129
P(adoption_Blockchain=True | adoption_Simulation=True),0.1129
P(adoption_Cloud_Computing=True | adoption_Artificial_Intelligence_AI=True),0.1199
P(adoption_Cloud_Computing=True | adoption_Internet_of_Things_IoT=True),0.5768
P(adoption_Cloud_Computing=True | adoption_Blockchain=True),0.3313
P(adoption_Cloud_Computing=True | adoption_Robotic_and_Automation=True),0.1706
P(adoption_Cloud_Computing=True | adoption_Big_Data_Analytics=True),0.1651
P(adoption_Cloud_Computing=True | adoption_Simulation=True),0.1697
P(adoption_Robotic_and_Automation=True | adoption_Artificial_Intelligence_AI=True),0.4177
P(adoption_Robotic_and_Automation=True | adoption_Internet_of_Things_IoT=True),0.4364
P(adoption_Robotic_and_Automation=True | adoption_Blockchain=True),0.4364
P(adoption_Robotic_and_Automation=True | adoption_Cloud_Computing=True),0.4388
P(adoption_Robotic_and_Automation=True | adoption_Big_Data_Analytics=True),0.2825
P(adoption_Robotic_and_Automation=True | adoption_Simulation=True),0.3436
P(adoption_Big_Data_Analytics=True | adoption_Artificial_Intelligence_AI=True),0.4474
P(adoption_Big_Data_Analytics=True | adoption_Internet_of_Things_IoT=True),0.371
P(adoption_Big_Data_Analytics=True | adoption_Blockchain=True),0.371
P(adoption_Big_Data_Analytics=True | adoption_Cloud_Computing=True),0.3611
P(adoption_Big_Data_Analytics=True | adoption_Robotic_and_Automation=True),0.2402
P(adoption_Big_Data_Analytics=True | adoption_Simulation=True),0.371
P(adoption_Simulation=True | adoption_Artificial_Intelligence_AI=True),0.2097
P(adoption_Simulation=True | adoption_Internet_of_Things_IoT=True),0.2097
P(adoption_Simulation=True | adoption_Blockchain=True),0.2097
P(adoption_Simulation=True | adoption_Cloud_Computing=True),0.2097
P(adoption_Simulation=True | adoption_Robotic_and_Automation=True),0.1651
P(adoption_Simulation=True | adoption_Big_Data_Analytics=True),0.2097
